model,f1_train,f1_test,precision,recall,accuracy,run_id
LogisticRegression,0.9108350882834069,0.9180854680310776,0.9172652532464713,0.9222011385199241,0.9222011385199241,36bb692708304fc1a4e59e23b281c4fc
SVM,0.9176868336017326,0.921318844067379,0.9207828328002694,0.9253636938646427,0.9253636938646427,ea3ae50f27b849339e1345aaa37dd8be
RandomForest,0.9059006610079857,0.9106502127544813,0.9093800300276821,0.9152435167615434,0.9152435167615434,f3ec0c8d9dfe481eac4dd718368e895a
