model,f1_train,f1_test,precision,recall
LogisticRegression,0.9108350882834069,0.9180854680310776,0.9172652532464713,0.9222011385199241
SVM,0.9176868336017326,0.921318844067379,0.9207828328002694,0.9253636938646427
RandomForest,0.9059006610079857,0.9106502127544813,0.9093800300276821,0.9152435167615434
